Symbol,Synonym Symbol,Scientific Name with Author,Common Name,Family
ECFA,,Echinocereus fasciculatus (Engelm. ex B.D. Jacks.) L.D. Benson,pinkflower hedgehog cactus,Cactaceae
ECFA,ECAB,Echinocereus abbeae S.H. Parsons,,
ECFA,ECFEF,Echinocereus fendleri (Engelm.) Sencke ex J.N. Haage var. fasciculatus (Engelm. ex B.D. Jacks.) N.P. Taylor,,
ECFA,ECFER3,Echinocereus fendleri (Engelm.) Sencke ex J.N. Haage var. robustus (Peebles) L.D. Benson,,
ECFA,ECRER2,Echinocereus rectispinus Peebles var. robustus Peebles,,
ECFA,ECRER3,Echinocereus reichenbachii (Terscheck ex Walp.) hort ex Haage var. robustus (Peebles) L.D. Benson,,
ECFA,MAFA6,Mammillaria fasciculata Engelm. ex B.D. Jacks.,,
ECFE,,Echinocereus fendleri (Engelm.) Sencke ex J.N. Haage,pinkflower hedgehog cactus,Cactaceae
ECFEF3,,Echinocereus fendleri (Engelm.) Sencke ex J.N. Haage ssp. fendleri,pinkflower hedgehog cactus,Cactaceae
ECFEF3,ECFEF2,Echinocereus fendleri (Engelm.) Sencke ex J.N. Haage var. fendleri,,
ECFEF3,ECFEK,"Echinocereus fendleri (Engelm.) Sencke ex J.N. Haage var. kuenzleri (Castetter, Pierce & Schwerin) L.D. Benson",,
ECFEF3,ECHE,Echinocereus hempelii auct. non F. Fobe,,
ECFEF3,ECKU2,"Echinocereus kuenzleri Castetter, Pierce & Schwerin",,
ECFER4,,Echinocereus fendleri (Engelm.) Sencke ex J.N. Haage ssp. rectispinus (Peebles) N.P. Taylor,pinkflower hedgehog cactus,Cactaceae
ECFER4,ECFER,Echinocereus fendleri (Engelm.) Sencke ex J.N. Haage var. rectispinus (Peebles) L.D. Benson,,
ECFER4,ECHER,Echinocereus hempelii F. Fobe ssp. rectispinus (Peebles) N.P. Taylor,,
ECFER4,ECRE3,Echinocereus rectispinus Peebles,,
ECFL,,Echeandia flavescens (Schult. & Schult. f.) Cruden,Torrey's craglily,Liliaceae
ECFL,ANFL5,Anthericum flavescens Schult. & Schult. f.,,
ECFL,ANTO2,Anthericum torreyi Baker p.p.,,
ECFL3,,Eccremidium floridanum H.A. Crum,Florida eccremidium moss,Ditrichaceae
ECFL4,,Echinodorus floridanus Haynes & Burkhalter,Florida burhead,Alismataceae
ECFR,,Echinochloa frumentacea Link,billion-dollar grass,Poaceae
ECFR,ECCRE2,Echinochloa crus-galli (L.) P. Beauv. ssp. edulis Hitchc.,,
ECFR,ECCRF,Echinochloa crus-galli (L.) P. Beauv. var. frumentacea (Roxb.) W. Wight,,
ECFR,PAFR4,"Panicum frumentaceum Roxb., non Salisb.",,
ECGA,,Echinomastus gautii (L.D. Benson) Mosco & Zanovello,top cactus,Cactaceae
ECGA,NEGA2,Neolloydia gautii L.D. Benson,,
ECGA,TUGA,Turbinicarpus gautii (L.D. Benson) A.D. Zimmerman,,
ECHA3,,Echinochloa haploclada (Stapf) Stapf,cockspur,Poaceae
ECHEA,,Echeandia Ortega,echeandia,Liliaceae
ECHEV,,Echeveria DC.,echeveria,Crassulaceae
ECHIN,,Echinacea Moench,purple coneflower,Asteraceae
ECHIN10,,Echinothecium Zopf,echinothecium lichen,Capnodiaceae
ECHIN11,,Echinopsis Zuccagni,echinopsis,Cactaceae
ECHIN12,,Echinopogon P. Beauv.,,Poaceae
ECHIN13,,Echinomastus Britton & Rose,fishhook cactus,Cactaceae
ECHIN2,,Echinocactus Link & Otto,echinocactus,Cactaceae
ECHIN3,,Echinocereus Engelm.,hedgehog cactus,Cactaceae
ECHIN4,,Echinochloa P. Beauv.,cockspur grass,Poaceae
ECHIN5,,Echinocystis Torr. & A. Gray,echinocystis,Cucurbitaceae
ECHIN6,,Echinodorus Rich. ex Engelm.,burhead,Alismataceae
ECHIN7,,Echinopepon Naud.,balsam apple,Cucurbitaceae
ECHIN8,,Echinops L.,globethistle,Asteraceae
ECHIN9,,Echinoplaca Fée,echinoplaca lichen,Gomphillaceae
ECHIT,,Echites P. Br.,echites,Apocynaceae
ECHIU,,Echium L.,viper's bugloss,Boraginaceae
ECHO,,Echinocactus horizonthalonius Lem.,devilshead,Cactaceae
ECHO4,,Echinochloa holciformis (Kunth) Chase,decorative millet,Poaceae
ECHOH,,Echinocactus horizonthalonius Lem. var. horizonthalonius,devilshead,Cactaceae
ECHOH,ECHOM,"Echinocactus horizonthalonius Lem. var. moelleri J.N. Haage ex D. Weniger, nom. nud.",,
ECHON,,Echinocactus horizonthalonius Lem. var. nicholii L.D. Benson,Nichol's echinocactus,Cactaceae
ECIN2,,Echinomastus intertextus (Engelm.) Britton & Rose,white fishhook cactus,Cactaceae
ECIN2,ECIN3,Echinocactus intertextus Engelm.,,
ECIN2,ECIND3,Echinocactus intertextus Engelm. var. dasyacanthus Engelm.,,
ECIN2,NEIN2,Neolloydia intertexta (Engelm.) L.D. Benson,,
ECIN2,NEIND,Neolloydia intertexta (Engelm.) L.D. Benson var. dasyacantha (Engelm.) L.D. Benson,,
